"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","format","language","tags","primary_reference","referenced_entities","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"5ka4pz3k-xo","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.65,"NOT THE CROWN!!!??","short",2026-02-16 01:32:06,"comedy","short_form","en","reaction, meme","","","v5","v5",2026-02-16 01:32:22,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""tags"":[""reaction"",""meme""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"4iFvJoIV1Mo","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.75,"ESCAPING THE DEPTHS OF NEOCITIES","live",2026-02-16 01:32:06,"gaming","live_stream","en","gaming, escape, Neocities","NEOCITIES","NEOCITIES","v5","v5",2026-02-16 01:32:22,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""tags"":[""gaming"",""escape"",""Neocities""],""primary_reference"":""NEOCITIES"",""referenced_entities"":[""NEOCITIES""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"4TsQp6WfWx8","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.9,"Im not a dog person, they frighten me [Rantcast]","live",2026-02-16 01:32:06,"lifestyle","live_stream","en","rant, Rantcast, dogs, opinion","","","v5","v5",2026-02-16 01:32:22,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""lifestyle"",""format"":""live_stream"",""language"":""en"",""tags"":[""rant"",""Rantcast"",""dogs"",""opinion""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"44ILtjYDdW0","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.55,"Dog Slander","short",2026-02-16 01:32:06,"comedy","short_form","en","dog, meme","","","v5","v5",2026-02-16 01:32:22,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""tags"":[""dog"",""meme""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"2I4HztTU76U","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.6,"FISTFULL OF FUN  #vtuber #vtuberclips","short",2026-02-16 01:32:06,"comedy","short_form","en","vtuber, clip, meme","","","v5","v5",2026-02-16 01:32:22,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""tags"":[""vtuber"",""clip"",""meme""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"B5H8S_BC4A0","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.78,"making out with another vtuber","short",2026-02-16 01:31:37,"lifestyle","short_form","en","vtuber, kiss, collab","","","v5","v5",2026-02-16 01:32:06,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""tags"":[""vtuber"",""kiss"",""collab""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"9oAGlmwAJG0","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.9,"NEVER FORGET DL-6<U+3010>PHOENIX WRIGHT: ACE ATTORNEY<U+3011>","live",2026-02-16 01:31:37,"gaming","live_stream","en","phoenix_wright_ace_attorney, dl-6, nostalgia","Phoenix Wright: Ace Attorney","Phoenix Wright: Ace Attorney, DL-6","v5","v5",2026-02-16 01:32:06,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""tags"":[""phoenix_wright_ace_attorney"",""dl-6"",""nostalgia""],""primary_reference"":""Phoenix Wright: Ace Attorney"",""referenced_entities"":[""Phoenix Wright: Ace Attorney"",""DL-6""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3UA4FIvsRTQ","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.65,"Ghost","short",2026-02-16 01:31:37,"other","short_form","unknown","ambiguous_title","","","v5","v5",2026-02-16 01:32:06,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""other"",""format"":""short_form"",""language"":""unknown"",""tags"":[""ambiguous_title""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3U-DJoj-CpY","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.9,"Spark Again - Aimer","short",2026-02-16 01:31:37,"music","short_form","en","song_title_format","Spark Again","Spark Again, Aimer","v5","v5",2026-02-16 01:32:06,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""tags"":[""song_title_format""],""primary_reference"":""Spark Again"",""referenced_entities"":[""Spark Again"",""Aimer""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"-2WiOnkthek","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.9,"jazz karaoke <U+0001F3B6>","live",2026-02-16 01:31:37,"music","live_stream","en","karaoke, jazz, live","karaoke","karaoke, jazz, live","v5","v5",2026-02-16 01:32:06,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""music"",""format"":""live_stream"",""language"":""en"",""tags"":[""karaoke"",""jazz"",""live""],""primary_reference"":""karaoke"",""referenced_entities"":[""karaoke"",""jazz"",""live""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
